number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,symptom,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,closed_code,resolved_by,resolved_at,closed_at,isParent
INC0001845,Closed,False,5,0,49,False,Caller 2283,Opened by  20,2016-03-03 11:28:00,Created by 12,2016-03-03 11:29:00,Updated by 908,2016-07-03 11:00:00,Phone,Location 204,Category 24,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 57,True,True,Do Not Notify,code 6,Resolved by 53,2016-06-28 10:30:00,2016-03-07 11:00:00,No
INC0003216,Resolved,True,6,0,47,True,Caller 3746,Opened by  131,2016-03-07 10:10:00,Created by 62,2016-03-07 10:13:00,Updated by 213,2016-06-28 10:46:00,Phone,Location 204,Category 34,Subcategory 154,Symptom 134,3 - Low,3 - Low,4 - Low,Group 25,Resolver 57,True,True,Do Not Notify,code 6,Resolved by 53,2016-06-28 10:46:00,2016-03-07 11:00:00,No
INC0002099,Closed,False,6,0,54,False,Caller 5555,Opened by  55,2016-03-03 16:37:00,Created by 30,2016-03-03 16:39:00,Updated by 908,2016-07-03 11:00:00,Phone,Location 204,Category 34,Subcategory 154,,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 57,True,True,Do Not Notify,code 6,Resolved by 53,2016-06-28 10:31:00,2016-03-07 11:00:00,No
INC0002104,Closed,False,6,0,49,False,Caller 383,Opened by  55,2016-03-03 16:42:00,Created by 30,2016-03-03 16:47:00,Updated by 908,2016-07-03 11:00:00,Phone,Location 204,Category 34,Subcategory 154,,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 57,True,True,Do Not Notify,code 6,Resolved by 53,2016-06-28 10:30:00,2016-03-07 11:00:00,No
INC0003258,Resolved,True,5,0,45,True,Caller 225,Opened by  131,2016-03-07 10:37:00,Created by 62,2016-03-07 10:39:00,Updated by 519,2016-06-28 10:39:00,Phone,Location 204,Category 34,Subcategory 154,Symptom 134,3 - Low,3 - Low,4 - Low,Group 25,Resolver 140,True,True,Do Not Notify,code 6,Resolved by 126,2016-06-28 10:39:00,2016-03-07 11:00:00,No
INC0002559,Closed,False,5,0,46,False,Caller 422,Opened by  386,2016-03-04 14:34:00,Created by 167,2016-03-04 14:42:00,Updated by 908,2016-07-03 12:00:00,Phone,Location 204,Category 34,Subcategory 294,,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,True,True,Do Not Notify,code 5,Resolved by 113,2016-06-28 11:41:00,2016-03-07 12:00:00,No
INC0001820,Resolved,True,0,0,40,True,Caller 3035,Opened by  441,2016-03-03 11:16:00,Created by 182,2016-03-03 11:23:00,Updated by 783,2016-06-28 18:18:00,Phone,Location 204,Category 45,Subcategory 207,,2 - Medium,2 - Medium,3 - Moderate,Group 31,Resolver 207,True,True,Do Not Notify,code 6,Resolved by 188,2016-06-28 18:18:00,2016-03-07 19:00:00,No
INC0002224,Closed,False,0,0,2,True,Caller 4150,Opened by  397,2016-03-04 04:35:00,,,Updated by 746,2016-03-04 05:54:00,Phone,Location 51,Category 40,Subcategory 43,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,,True,False,Do Not Notify,code 8,Resolved by 174,2016-03-04 04:37:00,2016-04-03 05:54:00,No
INC0012750,Closed,False,0,0,2,True,Caller 2886,Opened by  94,2016-03-30 00:28:00,,,Updated by 908,2016-04-04 00:59:00,Phone,Location 204,Category 57,Subcategory 170,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 47,False,True,Do Not Notify,code 6,Resolved by 44,2016-03-30 00:40:00,2016-04-04 00:59:00,No
INC0012751,Resolved,True,0,0,0,True,Caller 1688,Opened by  397,2016-03-30 00:42:00,,,Updated by 908,2016-03-30 00:42:00,Phone,Location 108,Category 32,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 191,False,False,Do Not Notify,code 6,Resolved by 174,,2016-04-04 00:59:00,No
INC0012757,Closed,False,0,0,1,True,Caller 2777,Opened by  397,2016-03-30 01:33:00,,,Updated by 908,2016-04-04 01:59:00,Phone,Location 108,Category 26,Subcategory 175,,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 191,False,False,Do Not Notify,code 6,Resolved by 174,,2016-04-04 01:59:00,No
INC0012756,Resolved,True,0,0,0,True,Caller 2657,Opened by  390,2016-03-30 01:24:00,Created by 169,2016-03-30 02:01:00,Updated by 727,2016-03-30 02:01:00,Phone,Location 204,Category 32,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,,Resolver 187,False,False,Do Not Notify,code 6,Resolved by 170,2016-03-30 02:01:00,2016-04-04 02:59:00,No
INC0012758,Resolved,True,0,0,2,True,Caller 5281,Opened by  463,2016-03-30 01:51:00,,,Updated by 846,2016-03-30 02:04:00,Phone,Location 161,Category 26,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 218,False,True,Do Not Notify,code 7,Resolved by 199,2016-03-30 02:04:00,2016-04-04 02:59:00,No
INC0012759,Resolved,True,0,0,1,True,Caller 5527,Opened by  94,2016-03-30 02:25:00,,,Updated by 177,2016-03-30 02:43:00,Phone,Location 143,Category 46,Subcategory 223,,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 47,False,True,Do Not Notify,code 7,Resolved by 44,2016-03-30 02:43:00,2016-04-04 02:59:00,No
INC0012761,Resolved,True,0,0,0,True,Caller 1053,Opened by  397,2016-03-30 02:57:00,,,Updated by 908,2016-03-30 02:57:00,Phone,Location 161,Category 28,Subcategory 174,,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 191,False,False,Do Not Notify,code 8,Resolved by 174,,2016-04-04 03:59:00,No
INC0012749,Resolved,True,0,0,1,True,Caller 4950,Opened by  305,2016-03-29 22:34:00,,,Updated by 177,2016-03-30 03:16:00,Phone,Location 56,Category 9,Subcategory 174,,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 47,False,True,Do Not Notify,code 6,Resolved by 44,2016-03-30 03:16:00,2016-04-04 03:59:00,No
INC0012777,Resolved,True,0,0,2,True,Caller 1904,Opened by  180,2016-03-30 06:23:00,Created by 81,2016-03-30 06:24:00,Updated by 340,2016-03-30 06:52:00,Phone,Location 188,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,False,True,Do Not Notify,code 6,Resolved by 85,2016-03-30 06:52:00,2016-04-04 06:59:00,No
INC0012773,Resolved,True,0,0,2,True,Caller 1904,Opened by  180,2016-03-30 06:06:00,Created by 81,2016-03-30 06:06:00,Updated by 340,2016-03-30 06:18:00,Phone,Location 188,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,False,True,Do Not Notify,code 6,Resolved by 85,2016-03-30 06:18:00,2016-04-04 06:59:00,No
INC0012775,Resolved,True,0,0,0,True,Caller 2000,Opened by  17,2016-03-30 06:16:00,,,Updated by 908,2016-03-30 06:16:00,Phone,Location 179,Category 26,Subcategory 175,Symptom 116,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,False,Do Not Notify,code 6,Resolved by 11,,2016-04-04 06:59:00,No
INC0012776,Closed,False,0,0,3,True,Caller 1904,Opened by  180,2016-03-30 06:22:00,Created by 81,2016-03-30 06:23:00,Updated by 908,2016-04-04 06:59:00,Phone,Location 188,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,False,True,Do Not Notify,code 6,Resolved by 85,2016-03-30 06:23:00,2016-04-04 06:59:00,No
INC0012796,Closed,False,0,0,2,True,Caller 388,Opened by  24,2016-03-30 07:50:00,,,Updated by 908,2016-04-04 07:59:00,Phone,Location 93,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,True,Do Not Notify,code 6,Resolved by 15,2016-03-30 07:57:00,2016-04-04 07:59:00,No
INC0012051,Resolved,True,1,0,5,True,Caller 3624,Opened by  386,2016-03-28 14:32:00,Created by 167,2016-03-28 14:36:00,Updated by 44,2016-03-30 07:23:00,Phone,Location 161,Category 26,Subcategory 175,Symptom 120,2 - Medium,2 - Medium,3 - Moderate,,Resolver 13,False,True,Do Not Notify,code 6,Resolved by 11,2016-03-30 07:23:00,2016-04-04 07:59:00,No
INC0012787,Closed,False,0,0,1,True,Caller 21,Opened by  501,2016-03-30 07:18:00,Created by 216,2016-03-30 07:22:00,Updated by 908,2016-04-04 07:59:00,Phone,Location 204,Category 46,Subcategory 223,,2 - Medium,2 - Medium,3 - Moderate,,Resolver 233,False,False,Do Not Notify,code 6,Resolved by 212,2016-03-30 07:22:00,2016-04-04 07:59:00,No
INC0011957,Resolved,True,1,0,2,True,Caller 5084,,2016-03-28 12:56:00,Created by 89,2016-03-28 13:03:00,Updated by 44,2016-03-30 07:26:00,Phone,Location 160,Category 26,Subcategory 175,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,,Resolver 13,False,True,Do Not Notify,code 6,Resolved by 11,2016-03-30 07:26:00,2016-04-04 07:59:00,No
INC0012022,Resolved,True,1,0,4,True,Caller 2312,Opened by  386,2016-03-28 14:05:00,Created by 167,2016-03-28 14:08:00,Updated by 44,2016-03-30 07:24:00,Phone,Location 108,Category 26,Subcategory 175,Symptom 120,2 - Medium,2 - Medium,3 - Moderate,,Resolver 13,False,True,Do Not Notify,code 6,Resolved by 11,2016-03-30 07:24:00,2016-04-04 07:59:00,No
INC0012092,Resolved,True,3,0,4,True,Caller 4791,Opened by  24,2016-03-28 15:03:00,,,Updated by 44,2016-03-30 07:22:00,Phone,Location 128,Category 26,Subcategory 175,,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,True,Do Not Notify,code 6,Resolved by 11,2016-03-30 07:22:00,2016-04-04 07:59:00,No
INC0012785,Closed,False,0,0,3,True,Caller 1904,Opened by  180,2016-03-30 07:08:00,Created by 81,2016-03-30 07:08:00,Updated by 908,2016-04-04 07:59:00,Phone,Location 188,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,False,True,Do Not Notify,code 6,Resolved by 85,2016-03-30 07:11:00,2016-04-04 07:59:00,No
INC0012781,Closed,False,0,0,8,True,Caller 1904,Opened by  180,2016-03-30 06:52:00,Created by 81,2016-03-30 06:57:00,Updated by 908,2016-04-04 07:59:00,Phone,Location 188,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,False,True,Do Not Notify,code 6,Resolved by 85,2016-03-30 07:44:00,2016-04-04 07:59:00,No
INC0012795,Resolved,True,0,0,1,True,Caller 1080,Opened by  8,2016-03-30 07:49:00,,,Updated by 21,2016-03-30 07:58:00,Phone,Location 249,Category 32,Subcategory 9,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,False,True,Do Not Notify,code 6,Resolved by 5,2016-03-30 07:58:00,2016-04-04 07:59:00,No
INC0012786,Resolved,True,0,0,2,True,Caller 1904,Opened by  180,2016-03-30 07:11:00,Created by 81,2016-03-30 07:11:00,Updated by 340,2016-03-30 07:42:00,Phone,Location 188,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,False,True,Do Not Notify,code 6,Resolved by 85,2016-03-30 07:42:00,2016-04-04 07:59:00,No
INC0012782,Resolved,True,0,0,1,True,Caller 21,Opened by  8,2016-03-30 06:52:00,,,Updated by 21,2016-03-30 07:05:00,Phone,Location 204,Category 42,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,False,True,Do Not Notify,code 6,Resolved by 5,2016-03-30 07:05:00,2016-04-04 07:59:00,No
INC0013494,Closed,False,5,0,8,True,Caller 1546,,2016-03-31 11:56:00,Created by 89,2016-03-31 12:01:00,Updated by 823,2016-04-04 08:43:00,Phone,Location 161,Category 42,Subcategory 224,,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 219,False,True,Do Not Notify,code 13,Resolved by 200,2016-04-04 08:43:00,2016-04-04 08:43:00,No
INC0011949,Resolved,True,1,0,5,True,Caller 276,Opened by  17,2016-03-28 12:45:00,Created by 10,2016-03-28 13:02:00,Updated by 421,2016-03-30 08:09:00,Phone,Location 108,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 111,False,True,Do Not Notify,code 6,Resolved by 100,2016-03-30 08:09:00,2016-04-04 08:59:00,No
INC0012790,Closed,False,0,0,1,True,Caller 3739,Opened by  17,2016-03-30 07:43:00,,,Updated by 908,2016-04-04 08:59:00,Phone,Location 143,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,False,Do Not Notify,code 6,Resolved by 11,,2016-04-04 08:59:00,No
INC0012792,Resolved,True,1,0,2,True,Caller 2826,Opened by  501,2016-03-30 07:48:00,Created by 216,2016-03-30 07:56:00,Updated by 915,2016-03-30 08:17:00,Phone,Location 204,Category 26,Subcategory 175,,2 - Medium,2 - Medium,3 - Moderate,,Resolver 233,False,True,Do Not Notify,code 6,Resolved by 212,2016-03-30 08:17:00,2016-04-04 08:59:00,No
INC0012774,Resolved,True,1,0,3,True,Caller 4380,Opened by  8,2016-03-30 06:12:00,Created by 6,2016-03-30 06:37:00,Updated by 447,2016-03-30 08:51:00,Phone,Location 161,Category 37,Subcategory 135,Symptom 118,2 - Medium,2 - Medium,3 - Moderate,Group 49,Resolver 120,False,True,Do Not Notify,code 6,Resolved by 108,2016-03-30 08:51:00,2016-04-04 08:59:00,No
INC0012791,Resolved,True,0,0,2,True,Caller 1904,Opened by  180,2016-03-30 07:45:00,Created by 81,2016-03-30 07:46:00,Updated by 340,2016-03-30 08:00:00,Phone,Location 188,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,False,True,Do Not Notify,code 6,Resolved by 85,2016-03-30 08:00:00,2016-04-04 08:59:00,No
INC0012846,Closed,False,0,0,1,True,Caller 1754,Opened by  17,2016-03-30 08:46:00,,,Updated by 908,2016-04-04 08:59:00,Phone,Location 51,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,False,Do Not Notify,code 9,Resolved by 11,,2016-04-04 08:59:00,No
INC0012223,Closed,False,1,0,4,True,Caller 4942,Opened by  17,2016-03-28 19:46:00,,,Updated by 908,2016-04-04 08:59:00,Phone,Location 204,Category 20,Subcategory 125,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 203,False,True,Do Not Notify,code 5,Resolved by 184,2016-03-30 08:33:00,2016-04-04 08:59:00,No
INC0012810,Resolved,True,0,0,0,True,Caller 3326,Opened by  17,2016-03-30 08:10:00,,,Updated by 908,2016-03-30 08:10:00,Phone,Location 43,Category 35,Subcategory 28,Symptom 506,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,False,Do Not Notify,code 6,Resolved by 11,,2016-04-04 08:59:00,No
INC0012300,Closed,False,1,0,7,True,Caller 2737,Opened by  8,2016-03-29 08:36:00,,,Updated by 908,2016-04-04 08:59:00,Phone,Location 51,Category 20,Subcategory 103,Symptom 208,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 203,False,True,Do Not Notify,code 5,Resolved by 184,2016-03-30 08:33:00,2016-04-04 08:59:00,No
INC0012026,Closed,False,0,0,5,True,Caller 5090,Opened by  501,2016-03-28 14:09:00,Created by 216,2016-03-28 14:11:00,Updated by 908,2016-04-04 08:59:00,Phone,Location 108,Category 37,Subcategory 135,,2 - Medium,2 - Medium,3 - Moderate,Group 47,Resolver 117,False,True,Do Not Notify,code 6,Resolved by 106,2016-03-30 08:35:00,2016-04-04 08:59:00,No
INC0007229,Resolved,True,3,0,8,True,Caller 5055,Opened by  501,2016-03-15 11:30:00,,,Updated by 573,2016-03-23 10:08:00,Phone,Location 15,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 149,False,True,Do Not Notify,code 9,Resolved by 133,2016-03-30 08:57:00,2016-04-04 08:59:00,No
INC0012406,Closed,False,0,0,5,True,Caller 2531,Opened by  17,2016-03-29 10:15:00,Created by 10,2016-03-29 10:21:00,Updated by 908,2016-04-04 08:59:00,Phone,Location 161,Category 9,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 253,False,True,Do Not Notify,code 6,Resolved by 231,2016-03-30 08:36:00,2016-04-04 08:59:00,No
INC0008186,Resolved,True,0,0,5,True,Caller 2462,Opened by  397,2016-03-17 10:01:00,Created by 171,2016-03-17 10:05:00,Updated by 825,2016-03-30 08:31:00,Phone,Location 143,Category 19,Subcategory 163,Symptom 454,2 - Medium,2 - Medium,3 - Moderate,Group 61,Resolver 225,False,True,Do Not Notify,code 6,Resolved by 204,2016-03-30 08:31:00,2016-04-04 08:59:00,No
INC0011663,Resolved,True,1,0,9,True,Caller 1522,Opened by  8,2016-03-28 08:28:00,Created by 6,2016-03-28 08:33:00,Updated by 793,2016-03-30 08:07:00,Phone,Location 128,Category 32,Subcategory 9,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,,Resolver 17,False,True,Do Not Notify,code 6,Resolved by 15,2016-03-30 08:07:00,2016-04-04 08:59:00,No
INC0009884,Closed,False,4,0,11,False,Caller 1995,Opened by  17,2016-03-22 10:19:00,,,Updated by 908,2016-04-04 08:59:00,Phone,Location 96,Category 53,Subcategory 82,Symptom 296,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 203,False,True,Do Not Notify,code 5,Resolved by 184,2016-03-30 08:36:00,2016-04-04 08:59:00,No
INC0009576,Resolved,True,1,0,6,True,Caller 1890,Opened by  17,2016-03-21 15:01:00,,,Updated by 804,2016-03-30 08:24:00,Phone,Location 209,Category 42,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 203,False,True,Do Not Notify,code 5,Resolved by 184,2016-03-30 08:24:00,2016-04-04 08:59:00,No
INC0002708,Resolved,True,3,0,13,True,Caller 2806,Opened by  443,2016-03-04 17:16:00,,,Updated by 804,2016-03-30 08:50:00,Phone,Location 83,Category 23,Subcategory 3,Symptom 6,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 203,True,True,Do Not Notify,code 5,Resolved by 184,2016-03-30 08:50:00,2016-04-04 08:59:00,No
INC0009570,Resolved,True,1,0,6,True,Caller 1890,Opened by  17,2016-03-21 14:57:00,,,Updated by 804,2016-03-30 08:26:00,Phone,Location 209,Category 42,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 203,False,True,Do Not Notify,code 5,Resolved by 184,2016-03-30 08:26:00,2016-04-04 08:59:00,No
INC0011145,Resolved,True,0,0,2,True,Caller 1554,Opened by  390,2016-03-24 14:47:00,Created by 169,2016-03-24 14:49:00,Updated by 825,2016-03-30 08:40:00,Phone,Location 143,Category 19,Subcategory 289,Symptom 311,2 - Medium,2 - Medium,3 - Moderate,Group 61,Resolver 225,False,True,Do Not Notify,code 6,Resolved by 204,2016-03-30 08:40:00,2016-04-04 08:59:00,No
INC0011748,Closed,False,1,0,4,True,Caller 5384,,2016-03-28 09:37:00,Created by 89,2016-03-28 09:44:00,Updated by 908,2016-04-04 08:59:00,Phone,Location 161,Category 26,Subcategory 275,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,,Resolver 33,False,True,Do Not Notify,code 6,Resolved by 212,2016-03-30 08:44:00,2016-04-04 08:59:00,No
INC0012800,Resolved,True,0,0,2,True,Caller 1904,Opened by  180,2016-03-30 08:00:00,Created by 81,2016-03-30 08:01:00,Updated by 340,2016-03-30 08:13:00,Phone,Location 188,Category 51,Subcategory 174,,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,False,True,Do Not Notify,code 6,Resolved by 85,2016-03-30 08:13:00,2016-04-04 08:59:00,No
INC0012752,Closed,False,0,0,2,True,Caller 2754,Opened by  94,2016-03-30 00:52:00,Created by 45,2016-03-30 00:57:00,Updated by 908,2016-04-04 08:59:00,Phone,Location 161,Category 37,Subcategory 123,Symptom 495,2 - Medium,2 - Medium,3 - Moderate,Group 49,Resolver 120,False,True,Do Not Notify,code 6,Resolved by 108,2016-03-30 08:54:00,2016-04-04 08:59:00,No
INC0012804,Closed,False,1,0,3,True,Caller 4782,Opened by  501,2016-03-30 08:03:00,Created by 216,2016-03-30 08:14:00,Updated by 908,2016-04-04 08:59:00,Phone,Location 108,Category 35,Subcategory 174,,2 - Medium,2 - Medium,3 - Moderate,,Resolver 233,False,True,Do Not Notify,code 6,Resolved by 212,2016-03-30 08:23:00,2016-04-04 08:59:00,No
INC0009563,Resolved,True,1,0,6,True,Caller 1890,Opened by  17,2016-03-21 14:51:00,,,Updated by 804,2016-03-30 08:27:00,Phone,Location 209,Category 42,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 203,False,True,Do Not Notify,code 5,Resolved by 184,2016-03-30 08:27:00,2016-04-04 08:59:00,No
INC0012823,Closed,False,0,0,1,True,Caller 619,Opened by  24,2016-03-30 08:28:00,,,Updated by 908,2016-04-04 08:59:00,Phone,Location 161,Category 20,Subcategory 174,,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,False,Do Not Notify,code 6,Resolved by 15,,2016-04-04 08:59:00,No
INC0011722,Closed,False,1,0,8,True,Caller 996,Opened by  131,2016-03-28 09:16:00,Created by 62,2016-03-28 09:30:00,Updated by 908,2016-04-04 08:59:00,Phone,Location 108,Category 47,Subcategory 164,Symptom 297,3 - Low,3 - Low,4 - Low,Group 47,Resolver 117,False,True,Do Not Notify,code 6,Resolved by 106,2016-03-30 08:43:00,2016-04-04 08:59:00,No
INC0012799,Resolved,True,0,0,1,True,Caller 1734,Opened by  8,2016-03-30 07:58:00,,,Updated by 21,2016-03-30 08:13:00,Phone,Location 204,Category 32,Subcategory 9,Symptom 105,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,False,True,Do Not Notify,code 6,Resolved by 5,2016-03-30 08:13:00,2016-04-04 08:59:00,No
INC0009583,Closed,False,1,0,8,False,Caller 2295,Opened by  500,2016-03-21 15:09:00,Created by 217,2016-03-21 15:19:00,Updated by 908,2016-04-04 08:59:00,Phone,Location 93,Category 42,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,,Resolver 17,False,True,Do Not Notify,code 7,Resolved by 15,2016-03-30 08:16:00,2016-04-04 08:59:00,No
INC0012686,Resolved,True,1,0,2,True,Caller 5257,Opened by  108,2016-03-29 16:22:00,,,Updated by 533,2016-03-30 08:15:00,Phone,Location 51,Category 61,Subcategory 36,Symptom 438,2 - Medium,2 - Medium,3 - Moderate,Group 73,Resolver 198,False,True,Do Not Notify,code 6,Resolved by 180,2016-03-30 08:15:00,2016-04-04 08:59:00,No
